NeSa,S_d,b,model,number,pa,product
80.97272,-39.95803,0.98709,Exp.Nes100_dDFE.Exponential/,475,0.00335,0.271258612
97.70159,-43.57857,0.89756,Exp.Nes100_dDFE.Exponential/,381,0.00272,0.2657483248
97.4828,-41.67648,0.92244,Exp.Nes100_dDFE.Exponential/,787,0.00273,0.266128044
84.63987,-39.87903,0.9999,Exp.Nes100_dDFE.Exponential/,578,0.00322,0.2725403814
49.95856,-39.84635,1.02689,Exp.Nes100_dDFE.Exponential/,456,0.00554,0.2767704224
75.06318,-42.44814,0.95399,Exp.Nes100_dDFE.Exponential/,314,0.00363,0.2724793434
90.11668,-45.11938,0.89191,Exp.Nes100_dDFE.Exponential/,167,0.00299,0.2694488732
71.14502,-39.88498,1.01596,Exp.Nes100_dDFE.Exponential/,362,0.00387,0.2753312274
83.11073,-42.5503,0.9481,Exp.Nes100_dDFE.Exponential/,269,0.00325,0.2701098725
59.5908,-41.59101,0.94268,Exp.Nes100_dDFE.Exponential/,561,0.00448,0.266966784
91.72164,-41.88693,0.95284,Exp.Nes100_dDFE.Exponential/,129,0.0029,0.265992756
95.46084,-39.40077,0.98701,Exp.Nes100_dDFE.Exponential/,463,0.00281,0.2682449604
87.02196,-39.85391,1.03531,Exp.Nes100_dDFE.Exponential/,914,0.00322,0.2802107112
79.73806,-42.56566,0.94394,Exp.Nes100_dDFE.Exponential/,134,0.00336,0.2679198816
99.12879,-41.43802,0.9678,Exp.Nes100_dDFE.Exponential/,154,0.00273,0.2706215967
99.74258,-43.26981,0.92339,Exp.Nes100_dDFE.Exponential/,726,0.00268,0.2673101144
86.28021,-40.61813,0.99974,Exp.Nes100_dDFE.Exponential/,953,0.00325,0.2804106825
75.06067,-40.29484,0.96867,Exp.Nes100_dDFE.Exponential/,864,0.00364,0.2732208388
84.46083,-42.00832,0.96061,Exp.Nes100_dDFE.Exponential/,828,0.00322,0.2719638726
68.08208,-42.48103,0.93497,Exp.Nes100_dDFE.Exponential/,356,0.00397,0.2702858576
